id,email,intent,sentiment,risk,action
64,Good afternoon. I confirm the payment will reflect in two days. Regards.,collaborative,positive,low,reminder
65,"Hi team, I do not have funds until end of month. Best regards.",concerned,negative,high,call
66,"Hello, the payment is under finance department review. Regards.",neutral,neutral,medium,statement
67,Good morning. We are adjusting the amount before paying. Regards.,concerned,negative,medium,statement
68,"Hi, the payment will be made once we receive bank credit. Best regards.",neutral,neutral,medium,statement
69,"Hello, I confirm the payment was sent today. Regards.",collaborative,positive,low,reminder
70,Good afternoon. I do not agree with the additional charges. Regards.,evasive,negative,high,call
71,"Hi team, the payment is pending internal validation. Best regards.",neutral,neutral,medium,statement
72,"Hello, we are waiting for treasury confirmation. Regards.",concerned,neutral,medium,statement
73,Good morning. The payment will be made once we receive the original invoice. Regards.,collaborative,neutral,low,reminder
74,"Hi, I confirm the payment will be made next week. Best regards.",collaborative,positive,low,reminder
76,Good morning. The payment is under accounting department review. Regards.,neutral,neutral,medium,statement
77,"Hello, we are adjusting the invoice before paying. Best regards.",concerned,negative,medium,statement
78,"Hi team, the payment will be made once the manager authorizes it. Regards.",neutral,neutral,medium,statement
79,Good afternoon. I confirm the payment has already been processed. Best.,collaborative,positive,low,reminder
80,"Hello, I do not recognize the invoiced amount, please check. Regards.",evasive,negative,high,call
81,"Hi, the payment is pending finance department approval. Best regards.",neutral,neutral,medium,statement
82,Good morning. We are waiting for the corrected invoice. Regards.,collaborative,neutral,low,reminder
83,"Hello, the payment will be made after director authorization. Best regards.",neutral,neutral,medium,statement
84,"Hi team, I confirm the payment will reflect tomorrow. Regards.",collaborative,positive,low,reminder
85,Good afternoon. I do not have funds available this quarter. Regards.,concerned,negative,high,call
86,"Hello, the payment is under external audit review. Best regards.",neutral,negative,medium,statement
87,"Hi, we are adjusting the charges before paying. Regards.",concerned,negative,medium,statement
88,Good morning. The payment will be made once the budget is approved. Regards.,neutral,neutral,medium,statement
89,"Hello, I confirm the payment is already in process. Best regards.",collaborative,positive,low,reminder
90,"Hi team, I do not recognize this invoice, please clarify. Regards.",evasive,negative,high,call
91,Good afternoon. The payment is pending purchasing department validation. Regards.,neutral,neutral,medium,statement
92,"Hello, we are waiting for the invoice correction. Best regards.",collaborative,neutral,low,reminder
93,"Hi, the payment will be made once committee approval is received. Regards.",neutral,neutral,medium,statement
94,Good morning. I confirm the payment will reflect in two days. Best regards.,collaborative,positive,low,reminder
95,"Hello, I do not have liquidity until end of month. Regards.",concerned,negative,high,call
96,"Hi team, the payment is under finance department review. Best regards.",neutral,neutral,medium,statement
97,Good afternoon. We are adjusting the invoice amount before paying. Regards.,concerned,negative,medium,statement
98,"Hello, the payment will be made once bank credit is received. Best regards.",neutral,neutral,medium,statement
99,"Hi, I confirm the payment was sent today. Regards.",collaborative,positive,low,reminder
100,Good morning. I do not agree with the additional charges. Regards.,evasive,negative,high,call
